,areaWithType,area_sqft,transaction,status,property_floor,total_floor,furnishing,facing,price_per_sqft,price_Lac,property_name,description,floor_ratio,price_area_ratio,furnishing_facing
25,1.0,910.0,1.0,1.0,2.0,6.0,2.0,0.0,2857.0,40.0,3 BHK Apartment for Sale in Jahangirabad Surat,This is 3 bhk fully furnished flat with all furniture and electronic appliances.Read more,0.3333333333333333,0.04395604395604396,0.0
26,1.0,650.0,0.0,1.0,4.5,9.0,2.0,0.0,4150.0,46.5,2 BHK Apartment for Sale in Palanpur Surat,LUXURY NOW AFFORDABLE 2 BHK FLAT.Two Separate Buildings with Only 100 Flats in Campus.Read more,0.5,0.07153846153846154,0.0
27,3.0,1250.0,0.0,1.0,8.0,15.0,2.0,6.0,3325.0,41.6,2 BHK Apartment for Sale in Palanpur Surat,Project on 150 ft road.good location2 and 3 bhk flats available2 bhk 1250 sq ft3 bhk 1598 sq ftlowest rate in areaRead more,0.5333333333333333,0.033280000000000004,12.0
28,1.0,1480.0,0.0,0.0,3.5,6.5,2.0,0.0,2264.0,33.5,3 BHK Villa for Sale in Masma Village Surat,Main road touch underconstruction project.,0.5384615384615384,0.022635135135135136,0.0
29,3.0,1105.0,1.0,1.0,10.0,15.0,2.0,6.0,3842.0,42.5,2 BHK Apartment for Sale in Shivalik Height Surat,"Book Your Budgeted 2BHK Flat, Single Tower, Alloted Parking, Easy Payment ScheduleRead more",0.6666666666666666,0.038461538461538464,12.0
30,3.0,1305.0,0.0,0.0,6.0,13.0,2.0,0.0,3678.0,48.0,2 BHK Apartment for Sale in Althan Surat,"he beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more",0.46153846153846156,0.0367816091954023,0.0
31,3.0,1290.0,1.0,1.0,6.0,14.0,0.0,0.0,3488.0,45.0,2 BHK Apartment for Sale in Palanpur Surat,"2 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 45.0 Lac(s)Read more",0.42857142857142855,0.03488372093023256,0.0
32,3.0,975.0,0.0,0.0,7.0,14.0,2.0,5.0,3282.0,32.0,2 BHK Apartment for Sale in Bamroli Surat,2 BHK Luxurious Flat For Sell In Surat Citys Prime Area With Attractive Price.Read more,0.5,0.03282051282051282,10.0
33,3.0,1250.0,0.0,1.0,8.0,15.0,2.0,0.0,2800.0,35.0,2 BHK Apartment for Sale in Jahangirabad Surat,2 BHK Flat For sell In Jaahngirabad Prime Area With All Aminities.Read more,0.5333333333333333,0.028,0.0
34,1.0,725.0,0.0,0.0,8.0,15.0,2.0,6.0,3500.0,46.2,2 BHK Apartment for Sale in Godadara Surat,2 and 3 bhk luxurious flats at prime locations.,0.5333333333333333,0.06372413793103449,12.0
35,3.0,1558.0,1.0,1.0,2.0,6.0,2.0,2.0,3017.0,47.0,3 BHK Apartment for Sale in Palanpur Surat,"2 bhk flat for rent, It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay. Indeed, the society too has for enjoyment, such as club housecommunity center, and security personnel etc, Other facilities include intercom facility, lift  and park etc.Read more",0.3333333333333333,0.030166880616174584,4.0
36,1.0,727.0,0.0,1.0,8.0,14.0,2.0,0.0,3075.0,38.5,2 BHK Apartment for Sale in Jahangirabad Surat,"4 balconies per flat Basement Parking  Indoor play and function area passage Clubhouse size passage       Area space per floorPlaning As per VastuMultipurpose Sports AreaGazebo seating24x7 security surveillanceSolar Panel inbuilt for low Maintenance life timeMultipurpose Play Court     Cricket, Badminton, basketball,      volleyballLandscape gardenOpen Big Campus Area   party space and many more..Read more",0.5714285714285714,0.05295735900962861,0.0
37,2.0,120.0,1.0,2.0,0.0,2.0,3.0,8.0,35000.0,42.0,  Plot/Land for Sale in Bhatpore Surat,"120 Sq-ft Residential Plot is available for Sale in Bhatpore, Surat for 42.0 Lac(s)Read more",0.0,0.35,24.0
38,1.0,425.0,1.0,1.0,2.0,3.0,3.0,8.0,4706.0,20.0,  Shop for Sale in Kosamba Surat,"  Commercial Shop is available for Sale in Kosamba, Surat for 20.0 Lac(s)Read more",0.6666666666666666,0.047058823529411764,24.0
39,1.0,396.0,1.0,1.0,3.0,11.0,3.0,8.0,5808.0,23.0,  Office Space for Sale in Udhna Surat,"Commercial office space is available for rent. Carpet Area 396 sq-ft, fully furnished with colour, Front partition and Cabin office, Main road touch, Front location, Common parking, Visiters parking, Two Banks and ATM in Complex, Mazanine Floor Office, no lift required, Fully Commercial Complex, Fully Industrial and GIDC Area, BRTS Bus Stop opp complex, 3 km Udhna Railway Station, 2 km ST Bus Station, 6 km Airport.Read more",0.2727272727272727,0.05808080808080808,24.0
40,2.0,1055.0,1.0,2.0,1.5,4.0,3.0,8.0,2275.0,24.0,  Plot/Land for Sale in Narthan Surat,More than 7 international school running in this area green area just 7 kms Dmart jhangripura from this society. Golden opportunity to invest in this area.Read more,0.375,0.022748815165876776,24.0
41,3.0,735.0,1.0,1.0,13.0,15.0,2.0,8.0,3810.0,28.0,1 BHK Apartment for Sale in Jahangirabad Surat,"A Spacious 1bhk road facing brand new flat for sale in a new luxurious high rise apartment. the building has the facilities available like garden, children play area, well designed building reception, 2 automatic auto door lifts etcRead more",0.8666666666666667,0.0380952380952381,16.0
42,3.0,1326.0,1.0,1.0,10.0,15.0,2.0,0.0,3771.0,50.0,2 BHK Apartment for Sale in Palanpur Surat,2 BHK  3 BHK  apartments at palanpur. with all amenities best location for best deal callRead more,0.6666666666666666,0.03770739064856712,0.0
43,3.0,510.0,0.0,0.0,4.0,13.0,3.0,8.0,7000.0,35.7,  Office Space for Sale in Vesu Surat,"VACANZZA ATLAS, THE DREAM COMMERCIAL PROJECT, is located on a premium vesu canal road opposite GD Goenka School. This is a perfect business center, with shops on ground and upper floor, amenities on 1st floor, offices from 3rd to 12th floor, and a roof top cafeteria. THE DREAM PLACE FOR CORPORATE AND PROFESSIONAL OFFICES, AND FOR CONSULTANTS.Read more",0.3076923076923077,0.07,24.0
44,3.0,1178.0,1.0,1.0,11.0,15.0,2.0,0.0,3099.0,36.5,2 BHK Apartment for Sale in Jahangirabad Surat,"Near new dmart. Decent for leaving,  regular water supply, the perfect home for familynear new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmartRead more",0.7333333333333333,0.03098471986417657,0.0
45,3.0,1900.0,1.0,1.0,8.0,15.0,2.0,6.0,2632.0,50.0,3 BHK Apartment for Sale in Jahangir Pura Surat,3 BHK Levish Flat For Sell With All Aminities.Contact For More Details.Read more,0.5333333333333333,0.02631578947368421,12.0
46,1.0,861.112,1.0,1.0,3.0,13.0,2.0,0.0,2595.0,36.0,3 BHK Apartment for Sale in Jahangirabad Surat,"Experience the grandeur of luxurious living in this expansive 3 BHK flat located in the heart of Jahangirabad, Surat. With the advantage of freehold ownership, a construction age of less than 5 years, and offering an exceptional investment opportunity, this property stands as a testament to unmatched sophistication and value.Property Specifications Step into a world of comfort and convenience with this exquisite property boasting a carpet area of 80 sqm. Situated on the 2nd floor of an east-facing building, this ready-to-move-in gem is flooded with natural sunlight and ventilation, creating a refreshing ambience throughout.As you enter, you're greeted by an expansive living area with vitrified tile flooring that adds a touch of elegance to the space. The property features three bedrooms, each designed for optimal comfort and privacy, along with three bathrooms offering modern fixtures and fittings.One of the highlights of this property is its wide and airy balcony, perfect for relaxing evenings or morning coffees with a view. The well-equipped kitchen is a culinary enthusiast's dream, featuring ample storage space and functionality.Facilities In terms of facilities, you'll find an open parking space for one vehicle, ensuring convenience for residents. Water availability is round-the-clock, and the property experiences rare power cuts, ensuring uninterrupted daily life. Additionally, there's a lift available for easy access to the second floor.Locality Jahangirabad in Surat is a vibrant locality known for its blend of urban conveniences and peaceful surroundings. Situated strategically, it offers easy access to key amenities and attractions, making it a sought-after residential destination. This area boasts a well-developed infrastructure with a range of schools, hospitals, and supermarkets within close proximity, catering to the daily needs of residents. Public transport options are readily available, ensuring seamless connectivity to other parts of the city.For those who enjoy leisure and recreation, Jahangirabad offers parks and recreational facilities, providing ample opportunities for relaxation and outdoor activities. The presence of commercial establishments and markets adds to the convenience, making it a self-sufficient locality.Read more",0.23076923076923078,0.04180640845790095,0.0
47,3.0,1600.0,1.0,1.0,4.0,13.0,2.0,8.0,2724.0,43.6,3 BHK Apartment for Sale in Palanpur Surat,"3 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 43.58 Lac(s)Read more",0.3076923076923077,0.02725,16.0
48,3.0,445.0,1.0,1.0,2.0,5.0,3.0,8.0,5618.0,25.0,  Shop for Sale in Rajhnsh platinum plaza Surat,"  Commercial Shop is available for Sale in , Surat for 25.0 Lac(s)Read more",0.4,0.056179775280898875,24.0
49,1.0,680.0,0.0,0.0,7.0,15.0,2.0,0.0,3747.0,46.5,2 BHK Apartment for Sale in Bamroli Surat,"2 bhk available for salewith morden aminitis like garden, gym,pool, temple, tracking,prime locationmain road center of surateverything is near by contact us for more details.Read more",0.4666666666666667,0.06838235294117648,0.0
50,1.0,721.0,1.0,1.0,4.0,6.0,1.0,0.0,2936.0,32.0,2 BHK Apartment for Sale in Jahangirabad Surat,Near upcoming metro station. Also near to city bus stop and hospitalRead more,0.6666666666666666,0.044382801664355064,0.0
51,1.0,400.0,1.0,1.0,3.0,6.0,3.0,8.0,5578.0,41.0,  Office Space for Sale in Nanpura Surat,this is a river facing office   furnished office  suitable for c.a  advocate or personal office for any business men.Read more,0.5,0.1025,24.0
52,1.0,545.0,1.0,0.0,14.0,15.0,2.0,0.0,3451.0,33.5,2 BHK Apartment for Sale in Swagat Home Surat,Swagat Home,0.9333333333333333,0.061467889908256884,0.0
